No.     Time           Source                Destination           Protocol Length Info
    420 32.364025      192.168.1.135         32.196.156.220        TCP      54     22909 → 443 [ACK] Seq=1 Ack=1 Win=65280 Len=0
    421 32.369275      192.168.1.135         32.196.156.220        TLSv1.3  571    Client Hello (SNI=api2.cursor.sh)
    422 32.390321      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=19072 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    423 32.390321      32.196.156.220        192.168.1.135         TLSv1.3  1506   Application Data
    424 32.390869      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=21976 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    425 32.390869      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=23428 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    426 32.390869      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=24880 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    427 32.390869      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=26332 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    428 32.390869      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=27784 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    429 32.391161      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [ACK] Seq=1720 Ack=29236 Win=65280 Len=0
    430 32.391281      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=29236 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    431 32.391281      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=30688 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    432 32.391281      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=32140 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    433 32.391454      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=33592 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    434 32.391454      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=35044 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    435 32.391605      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [ACK] Seq=1720 Ack=36496 Win=65280 Len=0
    436 32.391681      32.196.156.220        192.168.1.135         TLSv1.3  1506   Application Data
    437 32.391681      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=37948 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    438 32.391816      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=39400 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    439 32.391903      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [ACK] Seq=1720 Ack=40852 Win=65280 Len=0
    440 32.392039      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=40852 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    441 32.392039      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=42304 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    442 32.392163      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=43756 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    443 32.392248      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [ACK] Seq=1720 Ack=45208 Win=65280 Len=0
    444 32.392296      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=45208 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    445 32.392436      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=46660 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    446 32.392544      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [ACK] Seq=1720 Ack=48112 Win=65280 Len=0
    447 32.494983      32.196.156.220        192.168.1.135         TCP      60     443 → 22909 [ACK] Seq=1 Ack=518 Win=28160 Len=0
    448 32.495209      32.196.156.220        192.168.1.135         TLSv1.3  1506   Server Hello, Change Cipher Spec, Application Data
    449 32.495209      32.196.156.220        192.168.1.135         TCP      1506   443 → 22909 [ACK] Seq=1453 Ack=518 Win=28160 Len=1452 [TCP segment of a reassembled PDU]
    450 32.495294      32.196.156.220        192.168.1.135         TLSv1.3  1506   Application Data, Application Data
    451 32.495294      32.196.156.220        192.168.1.135         TLSv1.3  79     Application Data
    452 32.495336      192.168.1.135         32.196.156.220        TCP      54     22909 → 443 [ACK] Seq=518 Ack=4382 Win=65280 Len=0
    453 32.502057      192.168.1.135         32.196.156.220        TCP      54     22909 → 443 [FIN, ACK] Seq=518 Ack=4382 Win=65280 Len=0
    454 32.509050      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=48112 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    455 32.509050      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=49564 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    456 32.509243      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=51016 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    457 32.509293      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [ACK] Seq=1720 Ack=52468 Win=65280 Len=0
    458 32.509431      32.196.156.220        192.168.1.135         TLSv1.3  1506   Application Data
    459 32.509431      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=53920 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    460 32.509625      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=55372 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    461 32.509672      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [ACK] Seq=1720 Ack=56824 Win=65280 Len=0
    462 32.509703      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=56824 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    463 32.509910      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=58276 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    464 32.509910      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=59728 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    465 32.509968      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [ACK] Seq=1720 Ack=61180 Win=65280 Len=0
    466 32.510162      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=61180 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    467 32.510162      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=62632 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    468 32.510348      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=64084 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    469 32.510403      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [ACK] Seq=1720 Ack=65536 Win=65280 Len=0
    470 32.510456      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=65536 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    471 32.510530      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=66988 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    472 32.510562      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [ACK] Seq=1720 Ack=68440 Win=65280 Len=0
    473 32.510641      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=68440 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    474 32.510765      32.196.156.220        192.168.1.135         TLSv1.3  1506   Application Data
    475 32.510801      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [ACK] Seq=1720 Ack=71344 Win=65280 Len=0
    476 32.510890      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=71344 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    477 32.511008      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=72796 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    478 32.511039      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [ACK] Seq=1720 Ack=74248 Win=65280 Len=0
    479 32.511157      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=74248 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    480 32.511267      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=75700 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    481 32.511307      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [ACK] Seq=1720 Ack=77152 Win=130816 Len=0
    482 32.511383      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=77152 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    483 32.511497      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=78604 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    484 32.511532      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [ACK] Seq=1720 Ack=80056 Win=130816 Len=0
    485 32.511623      32.196.156.220        192.168.1.135         TCP      1506   443 → 22908 [ACK] Seq=80056 Ack=1720 Win=46080 Len=1452 [TCP segment of a reassembled PDU]
    486 32.511623      32.196.156.220        192.168.1.135         TLSv1.3  145    Application Data
    487 32.511740      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [ACK] Seq=1720 Ack=81599 Win=130816 Len=0
    488 32.524627      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [ACK] Seq=1720 Ack=81600 Win=130816 Len=0
    489 32.525189      192.168.1.135         32.196.156.220        TLSv1.3  78     Application Data
    490 32.525202      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [FIN, ACK] Seq=1744 Ack=81600 Win=130816 Len=0
    491 32.525242      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [RST, ACK] Seq=1745 Ack=81600 Win=0 Len=0
    492 32.543384      192.168.1.135         104.18.19.125         TCP      66     22910 → 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
    493 32.562037      104.18.19.125         192.168.1.135         TCP      66     443 → 22910 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192
    494 32.562144      192.168.1.135         104.18.19.125         TCP      54     22910 → 443 [ACK] Seq=1 Ack=1 Win=65280 Len=0
    495 32.563948      192.168.1.135         104.18.19.125         TLSv1.3  571    Client Hello (SNI=api3.cursor.sh)
    496 32.579983      104.18.19.125         192.168.1.135         TCP      60     443 → 22910 [ACK] Seq=1 Ack=518 Win=131072 Len=0
    497 32.581419      104.18.19.125         192.168.1.135         TLSv1.3  1506   Server Hello, Change Cipher Spec
    498 32.581419      104.18.19.125         192.168.1.135         TLSv1.3  1403   Application Data
    499 32.586340      192.168.1.135         104.18.19.125         TCP      54     22910 → 443 [FIN, ACK] Seq=518 Ack=2802 Win=65280 Len=0
    500 32.602286      104.18.19.125         192.168.1.135         TCP      60     443 → 22910 [FIN, ACK] Seq=2802 Ack=519 Win=131072 Len=0
    501 32.602735      192.168.1.135         104.18.19.125         TCP      54     22910 → 443 [ACK] Seq=519 Ack=2803 Win=65280 Len=0
    502 32.625510      32.196.156.220        192.168.1.135         TCP      60     443 → 22909 [FIN, ACK] Seq=4382 Ack=519 Win=28160 Len=0
    503 32.625923      192.168.1.135         32.196.156.220        TCP      54     22909 → 443 [ACK] Seq=519 Ack=4383 Win=65280 Len=0
    504 32.642837      32.196.156.220        192.168.1.135         TCP      60     [TCP Dup ACK 408#1] 443 → 22908 [ACK] Seq=81600 Ack=1720 Win=46080 Len=0
    505 32.642837      32.196.156.220        192.168.1.135         TCP      66     [TCP Dup ACK 408#2] 443 → 22908 [ACK] Seq=81600 Ack=1720 Win=46080 Len=0 SLE=1744 SRE=1745
    506 32.642837      32.196.156.220        192.168.1.135         TCP      66     443 → 22908 [ACK] Seq=81600 Ack=1745 Win=46080 Len=0 SLE=1744 SRE=1745
    507 32.642889      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [RST] Seq=1720 Win=0 Len=0
    508 32.642905      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [RST] Seq=1720 Win=0 Len=0
    509 32.642916      192.168.1.135         32.196.156.220        TCP      54     22908 → 443 [RST] Seq=1745 Win=0 Len=0
    510 33.334285      fe80::1138:e6ee:2535:242d fe80::1               ICMPv6   86     Neighbor Solicitation for fe80::1 from 74:56:3c:dc:84:25
    511 33.337611      fe80::1               fe80::1138:e6ee:2535:242d ICMPv6   78     Neighbor Advertisement fe80::1 (rtr, sol)
    512 33.940762      192.168.1.135         52.98.250.178         TCP      55     38853 → 443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP segment of a reassembled PDU]
    513 33.956644      52.98.250.178         192.168.1.135         TCP      66     443 → 38853 [ACK] Seq=1 Ack=2 Win=255 Len=0 SLE=1 SRE=2
    514 34.086307      fe80::1138:e6ee:2535:242d fe80::1               DNS      88     Standard query 0x5694 A nike.com
    515 34.087852      fe80::1               fe80::1138:e6ee:2535:242d DNS      152    Standard query response 0x5694 A nike.com A 65.8.202.46 A 65.8.202.125 A 65.8.202.108 A 65.8.202.8
    516 34.243554      fe80::1138:e6ee:2535:242d fe80::1               DNS      89     Standard query 0x284d A amazon.es
    517 34.252802      fe80::1               fe80::1138:e6ee:2535:242d DNS      137    Standard query response 0x284d A amazon.es A 3.254.238.145 A 3.253.168.8 A 3.253.182.49
    518 34.257225      192.168.1.135         3.254.238.145         ICMP     74     Echo (ping) request  id=0x0001, seq=17/4352, ttl=128 (no response found!)
    519 34.613425      192.168.1.135         192.168.1.142         TCP      164    32431 → 8009 [PSH, ACK] Seq=661 Ack=661 Win=255 Len=110 [TCP segment of a reassembled PDU]
    520 34.683359      35.233.131.14         192.168.1.135         TCP      91     443 → 7265 [PSH, ACK] Seq=1 Ack=1 Win=355 Len=37
    521 34.723916      192.168.1.135         35.233.131.14         TCP      54     7265 → 443 [ACK] Seq=1 Ack=38 Win=254 Len=0
    522 34.729209      192.168.1.142         192.168.1.135         TCP      164    8009 → 32431 [PSH, ACK] Seq=661 Ack=771 Win=1161 Len=110 [TCP segment of a reassembled PDU]
    523 34.771251      192.168.1.135         192.168.1.142         TCP      54     32431 → 8009 [ACK] Seq=771 Ack=771 Win=255 Len=0
    524 35.186343      192.168.1.135         141.227.128.128       TCP      55     [TCP Keep-Alive] 34007 → 443 [ACK] Seq=1 Ack=1 Win=254 Len=1
    525 35.201536      141.227.128.128       192.168.1.135         TCP      66     [TCP Keep-Alive ACK] 443 → 34007 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2
    526 35.379242      192.168.1.135         192.168.1.128         AJP13    164    AJP13 Error?
    527 35.380883      192.168.1.128         192.168.1.135         AJP13    164    AJP13 Error?
    528 35.426388      192.168.1.135         192.168.1.128         TCP      54     22275 → 8009 [ACK] Seq=881 Ack=881 Win=254 Len=0
    529 35.591993      192.168.1.135         104.18.19.125         TCP      66     22911 → 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
    530 35.607945      104.18.19.125         192.168.1.135         TCP      66     443 → 22911 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192
    531 35.608140      192.168.1.135         104.18.19.125         TCP      54     22911 → 443 [ACK] Seq=1 Ack=1 Win=65280 Len=0
    532 35.610784      192.168.1.135         104.18.19.125         TLSv1.3  571    Client Hello (SNI=api3.cursor.sh)
    533 35.629391      104.18.19.125         192.168.1.135         TCP      60     443 → 22911 [ACK] Seq=1 Ack=518 Win=131072 Len=0
    534 35.631034      104.18.19.125         192.168.1.135         TLSv1.3  1506   Server Hello, Change Cipher Spec
    535 35.631034      104.18.19.125         192.168.1.135         TLSv1.3  1403   Application Data
    536 35.636944      192.168.1.135         104.18.19.125         TCP      54     22911 → 443 [FIN, ACK] Seq=518 Ack=2802 Win=65280 Len=0
    537 35.653803      104.18.19.125         192.168.1.135         TCP      60     443 → 22911 [FIN, ACK] Seq=2802 Ack=519 Win=131072 Len=0
    538 35.654630      192.168.1.135         104.18.19.125         TCP      54     22911 → 443 [ACK] Seq=519 Ack=2803 Win=65280 Len=0
    539 35.708090      f4:fc:49:1d:66:e0     Broadcast             ARP      60     Who has 192.168.1.135? Tell 192.168.1.1
    540 35.708188      GigaByteTech_dc:84:25 f4:fc:49:1d:66:e0     ARP      42     192.168.1.135 is at 74:56:3c:dc:84:25
    541 36.057994      f4:fc:49:1d:66:e0     Broadcast             ARP      60     Who has 192.168.1.130? Tell 192.168.1.1
    542 36.242611      192.168.1.135         192.168.1.255         UDP      1462   889 → 889 Len=1420
    543 38.342528      20.33.3.2             192.168.1.135         TCP      60     443 → 14772 [ACK] Seq=1 Ack=1 Win=1 Len=0
    544 38.343189      192.168.1.135         20.33.3.2             TCP      54     [TCP ACKed unseen segment] 14772 → 443 [ACK] Seq=1 Ack=2 Win=255 Len=0
    545 38.351168      172.64.148.235        192.168.1.135         TLSv1.2  78     Application Data
    546 38.355357      192.168.1.135         172.64.148.235        TLSv1.2  82     Application Data
    547 38.371822      172.64.148.235        192.168.1.135         TCP      60     443 → 22700 [ACK] Seq=49 Ack=57 Win=16 Len=0
    548 38.871208      192.168.1.135         3.254.238.145         ICMP     74     Echo (ping) request  id=0x0001, seq=18/4608, ttl=128 (no response found!)
    549 39.270654      192.168.1.135         224.0.0.22            IGMPv3   54     Membership Report / Leave group 224.168.100.1
    550 39.333247      192.168.1.135         224.0.0.22            IGMPv3   54     Membership Report / Leave group 224.168.100.1
    551 39.671787      192.168.1.135         224.0.0.22            IGMPv3   54     Membership Report / Join group 224.168.100.1 for any sources
    552 39.734869      192.168.1.135         192.168.1.142         AJP13    164    AJP13 Error?
    553 39.845756      192.168.1.135         224.0.0.22            IGMPv3   54     Membership Report / Join group 224.168.100.1 for any sources
    554 39.849208      192.168.1.142         192.168.1.135         AJP13    164    AJP13 Error?
    555 39.893798      192.168.1.135         192.168.1.142         TCP      54     32431 → 8009 [ACK] Seq=881 Ack=881 Win=254 Len=0
    556 40.390304      192.168.1.135         192.168.1.128         TCP      164    22275 → 8009 [PSH, ACK] Seq=881 Ack=881 Win=254 Len=110 [TCP segment of a reassembled PDU]
    557 40.392044      192.168.1.128         192.168.1.135         TCP      164    8009 → 22275 [PSH, ACK] Seq=881 Ack=991 Win=1881 Len=110 [TCP segment of a reassembled PDU]
    558 40.436301      192.168.1.135         192.168.1.128         TCP      54     22275 → 8009 [ACK] Seq=991 Ack=991 Win=253 Len=0
    559 40.826644      192.168.1.135         104.18.19.125         TCP      66     22912 → 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
    560 40.843486      104.18.19.125         192.168.1.135         TCP      66     443 → 22912 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192
    561 40.843878      192.168.1.135         104.18.19.125         TCP      54     22912 → 443 [ACK] Seq=1 Ack=1 Win=65280 Len=0
    562 40.849916      192.168.1.135         104.18.19.125         TLSv1.3  571    Client Hello (SNI=api3.cursor.sh)
    563 40.867263      104.18.19.125         192.168.1.135         TCP      60     443 → 22912 [ACK] Seq=1 Ack=518 Win=131072 Len=0
    564 40.873099      104.18.19.125         192.168.1.135         TLSv1.3  1506   Server Hello, Change Cipher Spec
    565 40.873099      104.18.19.125         192.168.1.135         TLSv1.3  1403   Application Data
    566 40.879683      192.168.1.135         104.18.19.125         TCP      54     22912 → 443 [FIN, ACK] Seq=518 Ack=2802 Win=65280 Len=0
    567 40.897887      104.18.19.125         192.168.1.135         TCP      60     443 → 22912 [FIN, ACK] Seq=2802 Ack=519 Win=131072 Len=0
    568 40.898775      192.168.1.135         104.18.19.125         TCP      54     22912 → 443 [ACK] Seq=519 Ack=2803 Win=65280 Len=0
    569 41.333394      192.168.1.135         142.251.140.234       UDP      71     60894 → 443 Len=29
    570 41.353630      142.251.140.234       192.168.1.135         UDP      67     443 → 60894 Len=25
    571 41.426424      192.168.1.149         192.168.1.255         UDP      82     57621 → 57621 Len=40
    572 43.842473      192.168.1.135         3.254.238.145         ICMP     74     Echo (ping) request  id=0x0001, seq=19/4864, ttl=128 (no response found!)
    573 44.703481      192.168.1.149         224.0.0.251           MDNS     408    Standard query 0x001d PTR _googlecast._tcp.local, "QM" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, "QM" question PTR _CFE7FEDA._sub._googlecast._tcp.local, "QM" question PTR _CC1AD845._sub._googlecast._tcp.local, "QM" question PTR _CC32E753._sub._googlecast._tcp.local, "QM" question SRV Haier-Android-TV-DVB-eead30e92ef3d758bb3c9f3a8eee85f1._googlecast._tcp.local, "QM" question SRV PANASONIC-TV-7f543f26a3edc2d9f3656277a1349678._googlecast._tcp.local, "QM" question PTR Haier-Android-TV-DVB-eead30e92ef3d758bb3c9f3a8eee85f1._googlecast._tcp.local PTR Haier-Android-TV-DVB-eead30e92ef3d758bb3c9f3a8eee85f1._googlecast._tcp.local PTR Haier-Android-TV-DVB-eead30e92ef3d758bb3c9f3a8eee85f1._googlecast._tcp.local PTR Haier-Android-TV-DVB-eead30e92ef3d758bb3c9f3a8eee85f1._googlecast._tcp.local PTR PANASONIC-TV-7f543f26a3edc2d9f3656277a1349678._googlecast._tcp.local PTR PANASONIC-TV-7f543f26a3edc2d9f3656277a1349678._googlecast._tcp.local PTR PANASONIC-TV-7f543f26a3edc2d9f3656277a1349678._googlecast._tcp.local PTR PANASONIC-TV-7f543f26a3edc2d9f3656277a1349678._googlecast._tcp.local
    574 44.703963      fe80::9c4c:27ff:feef:f08d ff02::fb              MDNS     428    Standard query 0x001d PTR _googlecast._tcp.local, "QM" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, "QM" question PTR _CFE7FEDA._sub._googlecast._tcp.local, "QM" question PTR _CC1AD845._sub._googlecast._tcp.local, "QM" question PTR _CC32E753._sub._googlecast._tcp.local, "QM" question SRV Haier-Android-TV-DVB-eead30e92ef3d758bb3c9f3a8eee85f1._googlecast._tcp.local, "QM" question SRV PANASONIC-TV-7f543f26a3edc2d9f3656277a1349678._googlecast._tcp.local, "QM" question PTR Haier-Android-TV-DVB-eead30e92ef3d758bb3c9f3a8eee85f1._googlecast._tcp.local PTR Haier-Android-TV-DVB-eead30e92ef3d758bb3c9f3a8eee85f1._googlecast._tcp.local PTR Haier-Android-TV-DVB-eead30e92ef3d758bb3c9f3a8eee85f1._googlecast._tcp.local PTR Haier-Android-TV-DVB-eead30e92ef3d758bb3c9f3a8eee85f1._googlecast._tcp.local PTR PANASONIC-TV-7f543f26a3edc2d9f3656277a1349678._googlecast._tcp.local PTR PANASONIC-TV-7f543f26a3edc2d9f3656277a1349678._googlecast._tcp.local PTR PANASONIC-TV-7f543f26a3edc2d9f3656277a1349678._googlecast._tcp.local PTR PANASONIC-TV-7f543f26a3edc2d9f3656277a1349678._googlecast._tcp.local
    575 44.761081      192.168.1.142         224.0.0.251           MDNS     203    Standard query response 0x0000 SRV, cache flush 0 0 8009 eead30e9-2ef3-d758-bb3c-9f3a8eee85f1.local A, cache flush 192.168.1.142
    576 44.765305      fe80::c74:fff:fe30:b6b3 ff02::fb              MDNS     235    Standard query response 0x0000 SRV, cache flush 0 0 8009 eead30e9-2ef3-d758-bb3c-9f3a8eee85f1.local AAAA, cache flush 2a0c:5a85:6801:f700:67e:4a0e:e980:15ff
    577 44.805482      192.168.1.128         224.0.0.251           MDNS     195    Standard query response 0x0000 SRV, cache flush 0 0 8009 7f543f26-a3ed-c2d9-f365-6277a1349678.local A, cache flush 192.168.1.128
    578 44.864007      192.168.1.135         192.168.1.142         TCP      164    32431 → 8009 [PSH, ACK] Seq=881 Ack=881 Win=254 Len=110 [TCP segment of a reassembled PDU]
    579 44.866154      192.168.1.142         192.168.1.135         TCP      164    8009 → 32431 [PSH, ACK] Seq=881 Ack=991 Win=1161 Len=110 [TCP segment of a reassembled PDU]
    580 44.911126      192.168.1.135         192.168.1.142         TCP      54     32431 → 8009 [ACK] Seq=991 Ack=991 Win=254 Len=0
    581 45.010210      192.168.1.128         224.0.0.251           MDNS     82     Standard query 0x0000 PTR _googlecast._tcp.local, "QM" question
    582 45.062400      192.168.1.142         224.0.0.251           MDNS     435    Standard query response 0x0000 PTR Haier-Android-TV-DVB-eead30e92ef3d758bb3c9f3a8eee85f1._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 eead30e9-2ef3-d758-bb3c-9f3a8eee85f1.local A, cache flush 192.168.1.142
    583 45.112912      192.168.1.128         224.0.0.251           MDNS     420    Standard query response 0x0000 PTR PANASONIC-TV-7f543f26a3edc2d9f3656277a1349678._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 7f543f26-a3ed-c2d9-f365-6277a1349678.local A, cache flush 192.168.1.128
    584 45.214998      192.168.1.135         141.227.128.128       TCP      55     [TCP Keep-Alive] 34007 → 443 [ACK] Seq=1 Ack=1 Win=254 Len=1
    585 45.214999      192.168.1.135         98.85.113.49          TCP      55     [TCP Keep-Alive] 50364 → 443 [ACK] Seq=1 Ack=1 Win=253 Len=1
    586 45.231202      141.227.128.128       192.168.1.135         TCP      66     [TCP Keep-Alive ACK] 443 → 34007 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2
    587 45.317290      98.85.113.49          192.168.1.135         TCP      66     [TCP Keep-Alive ACK] 443 → 50364 [ACK] Seq=1 Ack=2 Win=187 Len=0 SLE=1 SRE=2
    588 45.409167      192.168.1.135         192.168.1.128         TCP      164    22275 → 8009 [PSH, ACK] Seq=991 Ack=991 Win=253 Len=110 [TCP segment of a reassembled PDU]
    589 45.411108      192.168.1.128         192.168.1.135         TCP      164    8009 → 22275 [PSH, ACK] Seq=991 Ack=1101 Win=1881 Len=110 [TCP segment of a reassembled PDU]
    590 45.455336      192.168.1.135         192.168.1.128         TCP      54     22275 → 8009 [ACK] Seq=1101 Ack=1101 Win=253 Len=0
    591 45.614382      192.168.1.135         104.18.19.125         TCP      66     22918 → 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
    592 45.635459      104.18.19.125         192.168.1.135         TCP      66     443 → 22918 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192
    593 45.635632      192.168.1.135         104.18.19.125         TCP      54     22918 → 443 [ACK] Seq=1 Ack=1 Win=65280 Len=0
    594 45.638289      192.168.1.135         104.18.19.125         TLSv1.3  571    Client Hello (SNI=api3.cursor.sh)
    595 45.654443      104.18.19.125         192.168.1.135         TCP      60     443 → 22918 [ACK] Seq=1 Ack=518 Win=131072 Len=0
    596 45.657901      104.18.19.125         192.168.1.135         TLSv1.3  1506   Server Hello, Change Cipher Spec
    597 45.657901      104.18.19.125         192.168.1.135         TLSv1.3  1404   Application Data
