No.     Time           Source                Destination           Protocol Length Info
    152 14.134547      192.168.1.135         192.168.1.142         TCP      164    32431 → 8009 [PSH, ACK] Seq=221 Ack=221 Win=251 Len=110 [TCP segment of a reassembled PDU]
    153 14.189030      192.168.1.149         224.0.0.251           MDNS     87     Standard query 0x0000 PTR _spotify-connect._tcp.local, "QM" question
    154 14.189195      fe80::9c4c:27ff:feef:f08d ff02::fb              MDNS     107    Standard query 0x0000 PTR _spotify-connect._tcp.local, "QM" question
    155 14.216342      192.168.1.135         32.196.156.220        TCP      66     22897 → 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
    156 14.227977      32.196.156.220        192.168.1.135         TLSv1.3  449    Application Data
    157 14.227977      32.196.156.220        192.168.1.135         TCP      60     443 → 22896 [FIN, ACK] Seq=4947 Ack=1851 Win=46080 Len=0
    158 14.229022      192.168.1.135         32.196.156.220        TCP      54     22896 → 443 [ACK] Seq=1851 Ack=4948 Win=64768 Len=0
    159 14.229405      192.168.1.135         32.196.156.220        TLSv1.3  78     Application Data
    160 14.229762      192.168.1.135         32.196.156.220        TCP      54     22896 → 443 [FIN, ACK] Seq=1875 Ack=4948 Win=64768 Len=0
    161 14.229818      192.168.1.135         32.196.156.220        TCP      54     22896 → 443 [RST, ACK] Seq=1876 Ack=4948 Win=0 Len=0
    162 14.246131      192.168.1.142         192.168.1.135         TCP      164    8009 → 32431 [PSH, ACK] Seq=221 Ack=331 Win=1161 Len=110 [TCP segment of a reassembled PDU]
    163 14.291644      192.168.1.147         224.0.0.251           MDNS     218    Standard query response 0x0000 PTR SpZc-91BA3F._spotify-connect._tcp.local TXT, cache flush A, cache flush 192.168.1.147 SRV, cache flush 0 0 41800 PS4-91BA3F.local NSEC, cache flush SpZc-91BA3F._spotify-connect._tcp.local NSEC, cache flush PS4-91BA3F.local
    164 14.293996      192.168.1.135         192.168.1.142         TCP      54     32431 → 8009 [ACK] Seq=331 Ack=331 Win=250 Len=0
    165 14.326188      32.196.156.220        192.168.1.135         TCP      66     443 → 22897 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1452 SACK_PERM WS=256
    166 14.326697      192.168.1.135         32.196.156.220        TCP      54     22897 → 443 [ACK] Seq=1 Ack=1 Win=65280 Len=0
    167 14.335992      192.168.1.135         32.196.156.220        TLSv1.3  571    Client Hello (SNI=api2.cursor.sh)
    168 14.344015      32.196.156.220        192.168.1.135         TCP      60     443 → 22896 [RST] Seq=4948 Win=0 Len=0
    169 14.446976      32.196.156.220        192.168.1.135         TCP      60     443 → 22897 [ACK] Seq=1 Ack=518 Win=28160 Len=0
    170 14.447308      32.196.156.220        192.168.1.135         TLSv1.3  1506   Server Hello, Change Cipher Spec, Application Data
    171 14.447308      32.196.156.220        192.168.1.135         TCP      1506   443 → 22897 [ACK] Seq=1453 Ack=518 Win=28160 Len=1452 [TCP segment of a reassembled PDU]
    172 14.447544      32.196.156.220        192.168.1.135         TLSv1.3  1506   Application Data, Application Data
    173 14.447544      32.196.156.220        192.168.1.135         TLSv1.3  79     Application Data
    174 14.447675      192.168.1.135         32.196.156.220        TCP      54     22897 → 443 [ACK] Seq=518 Ack=4382 Win=65280 Len=0
    175 14.460839      192.168.1.135         32.196.156.220        TCP      54     22897 → 443 [FIN, ACK] Seq=518 Ack=4382 Win=65280 Len=0
    176 14.571481      32.196.156.220        192.168.1.135         TCP      60     443 → 22897 [FIN, ACK] Seq=4382 Ack=519 Win=28160 Len=0
    177 14.572521      192.168.1.135         32.196.156.220        TCP      54     22897 → 443 [ACK] Seq=519 Ack=4383 Win=65280 Len=0
    178 14.736617      192.168.1.135         104.18.19.125         TCP      66     22898 → 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
    179 14.749232      192.168.1.135         32.196.156.220        TCP      66     22899 → 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
    180 14.754779      104.18.19.125         192.168.1.135         TCP      66     443 → 22898 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192
    181 14.754900      192.168.1.135         104.18.19.125         TCP      54     22898 → 443 [ACK] Seq=1 Ack=1 Win=65280 Len=0
    182 14.756337      192.168.1.135         104.18.19.125         TLSv1.3  571    Client Hello (SNI=api3.cursor.sh)
    183 14.773872      104.18.19.125         192.168.1.135         TCP      60     443 → 22898 [ACK] Seq=1 Ack=518 Win=131072 Len=0
    184 14.776116      104.18.19.125         192.168.1.135         TLSv1.3  1506   Server Hello, Change Cipher Spec
    185 14.776116      104.18.19.125         192.168.1.135         TLSv1.3  1403   Application Data
    186 14.784517      192.168.1.135         104.18.19.125         TCP      54     22898 → 443 [FIN, ACK] Seq=518 Ack=2802 Win=65280 Len=0
    187 14.807562      104.18.19.125         192.168.1.135         TCP      60     443 → 22898 [FIN, ACK] Seq=2802 Ack=519 Win=131072 Len=0
    188 14.808395      192.168.1.135         104.18.19.125         TCP      54     22898 → 443 [ACK] Seq=519 Ack=2803 Win=65280 Len=0
    189 14.859392      32.196.156.220        192.168.1.135         TCP      66     443 → 22899 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1452 SACK_PERM WS=256
    190 14.859919      192.168.1.135         32.196.156.220        TCP      54     22899 → 443 [ACK] Seq=1 Ack=1 Win=65280 Len=0
    191 14.868733      192.168.1.135         32.196.156.220        TLSv1.3  571    Client Hello (SNI=api2.cursor.sh)
    192 14.980733      32.196.156.220        192.168.1.135         TCP      60     443 → 22899 [ACK] Seq=1 Ack=518 Win=28160 Len=0
    193 14.980733      32.196.156.220        192.168.1.135         TLSv1.3  1506   Server Hello, Change Cipher Spec, Application Data
    194 14.981204      32.196.156.220        192.168.1.135         TCP      1506   443 → 22899 [ACK] Seq=1453 Ack=518 Win=28160 Len=1452 [TCP segment of a reassembled PDU]
    195 14.981204      32.196.156.220        192.168.1.135         TLSv1.3  1506   Application Data, Application Data
    196 14.981204      32.196.156.220        192.168.1.135         TLSv1.3  70     Application Data
    197 14.981371      192.168.1.135         32.196.156.220        TCP      54     22899 → 443 [ACK] Seq=518 Ack=4373 Win=65280 Len=0
    198 14.989063      192.168.1.135         32.196.156.220        TLSv1.3  118    Change Cipher Spec, Application Data
    199 14.989113      192.168.1.135         32.196.156.220        TLSv1.3  1611   Application Data, Application Data
    200 15.099331      32.196.156.220        192.168.1.135         TCP      60     443 → 22899 [ACK] Seq=4373 Ack=582 Win=28160 Len=0
    201 15.099331      32.196.156.220        192.168.1.135         TLSv1.3  233    Application Data
    202 15.099863      192.168.1.135         32.196.156.220        TLSv1.3  81     Application Data
    203 15.100337      32.196.156.220        192.168.1.135         TCP      60     443 → 22899 [ACK] Seq=4552 Ack=2139 Win=31232 Len=0
    204 15.124192      192.168.1.135         141.227.128.128       TCP      55     [TCP Keep-Alive] 34007 → 443 [ACK] Seq=1 Ack=1 Win=254 Len=1
    205 15.139569      141.227.128.128       192.168.1.135         TCP      66     [TCP Keep-Alive ACK] 443 → 34007 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2
    206 15.215163      32.196.156.220        192.168.1.135         TLSv1.3  915    Application Data
    207 15.215163      32.196.156.220        192.168.1.135         TCP      60     443 → 22899 [FIN, ACK] Seq=5413 Ack=2166 Win=31232 Len=0
    208 15.227171      192.168.1.135         32.196.156.220        TCP      54     22899 → 443 [ACK] Seq=2166 Ack=5414 Win=64256 Len=0
    209 15.227805      192.168.1.135         32.196.156.220        TLSv1.3  78     Application Data
